user id,session id,article id,click,ratings,time spent,user type
2982720,1,7801,no,0,0.0,bounce
3024795,1,1576,no,0,0.0,bounce
6000852,1,5075,no,0,0.0,bounce
1445319,1,2889,no,0,0.0,bounce
7878258,1,9466,no,0,0.0,bounce
9881140,1,8957,no,0,0.0,bounce
8324394,1,9511,no,0,0.0,bounce
7425048,1,5210,no,0,0.0,bounce
9630587,1,8698,no,0,0.0,bounce
7891145,1,447,no,0,0.0,bounce
1822769,1,9980,no,0,0.0,bounce
7519736,1,7118,no,0,0.0,bounce
8721053,1,3203,no,0,0.0,bounce
7718312,1,3067,no,0,0.0,bounce
8111613,1,1828,no,0,0.0,bounce
8673411,1,2938,no,0,0.0,bounce
4644114,1,3993,no,0,0.0,bounce
2268240,1,9567,no,0,0.0,bounce
8243362,1,1022,no,0,0.0,bounce
5551166,1,4181,no,0,0.0,bounce
8727033,1,3599,no,0,0.0,bounce
3004451,1,6339,no,0,0.0,bounce
2318967,1,3236,no,0,0.0,bounce
5142492,1,7878,no,0,0.0,bounce
6347163,1,1613,no,0,0.0,bounce
7099753,1,6226,no,0,0.0,bounce
6929943,1,960,no,0,0.0,bounce
9785284,1,8133,no,0,0.0,bounce
9584807,1,1797,no,0,0.0,bounce
7469782,1,2805,no,0,0.0,bounce
4711068,1,4235,no,0,0.0,bounce
8616439,1,4413,no,0,0.0,bounce
6785787,1,3747,no,0,0.0,bounce
2376712,1,3960,no,0,0.0,bounce
9037915,1,7292,no,0,0.0,bounce
9136889,1,5190,no,0,0.0,bounce
4602869,1,6222,no,0,0.0,bounce
1508618,1,4428,no,0,0.0,bounce
9834208,1,9132,no,0,0.0,bounce
6589270,1,3012,no,0,0.0,bounce
9826495,1,4719,no,0,0.0,bounce
5433099,1,635,no,0,0.0,bounce
3793734,1,7445,no,0,0.0,bounce
5539601,1,5983,no,0,0.0,bounce
2039257,1,2517,no,0,0.0,bounce
9756830,1,7244,no,0,0.0,bounce
6693362,1,6865,no,0,0.0,bounce
9577049,1,7785,no,0,0.0,bounce
9805333,1,7216,no,0,0.0,bounce
7945054,1,8787,no,0,0.0,bounce
7863134,1,4332,no,0,0.0,bounce
5112318,1,9380,no,0,0.0,bounce
2458356,1,1926,no,0,0.0,bounce
7552171,1,5797,no,0,0.0,bounce
1342731,1,3935,no,0,0.0,bounce
1431279,1,1120,no,0,0.0,bounce
1611853,1,298,no,0,0.0,bounce
8217824,1,478,no,0,0.0,bounce
6080215,1,9568,no,0,0.0,bounce
8958133,1,1199,no,0,0.0,bounce
5520349,1,4215,no,0,0.0,bounce
7618478,1,4429,no,0,0.0,bounce
5877056,1,2338,no,0,0.0,bounce
3921901,1,6884,no,0,0.0,bounce
1507840,1,6494,no,0,0.0,bounce
9179784,1,5748,no,0,0.0,bounce
4740734,1,6878,no,0,0.0,bounce
2758308,1,9511,no,0,0.0,bounce
8429562,1,2715,no,0,0.0,bounce
6156749,1,5592,no,0,0.0,bounce
8133036,1,58,no,0,0.0,bounce
2325598,1,1602,no,0,0.0,bounce
8717193,1,5893,no,0,0.0,bounce
1541139,1,5715,no,0,0.0,bounce
3576815,1,2006,no,0,0.0,bounce
4731219,1,8521,no,0,0.0,bounce
6833981,1,9641,no,0,0.0,bounce
6007689,1,4999,no,0,0.0,bounce
2824634,1,8238,no,0,0.0,bounce
3536128,1,4975,no,0,0.0,bounce
9640390,1,4143,no,0,0.0,bounce
1062224,1,5786,no,0,0.0,bounce
7240826,1,7613,no,0,0.0,bounce
4023478,1,1153,no,0,0.0,bounce
8159466,1,3400,no,0,0.0,bounce
7024959,1,6136,no,0,0.0,bounce
8335649,1,553,no,0,0.0,bounce
9257885,1,2320,no,0,0.0,bounce
4362845,1,1634,no,0,0.0,bounce
8366570,1,5706,no,0,0.0,bounce
6255230,1,5678,no,0,0.0,bounce
6420971,1,9711,no,0,0.0,bounce
8897482,1,4444,no,0,0.0,bounce
3934925,1,5194,no,0,0.0,bounce
3427438,1,2905,no,0,0.0,bounce
3088790,1,9383,no,0,0.0,bounce
2670145,1,1132,no,0,0.0,bounce
1136585,1,1772,no,0,0.0,bounce
9121424,1,3472,no,0,0.0,bounce
6142372,1,2199,no,0,0.0,bounce
2225335,1,6930,no,0,0.0,bounce
9531234,1,984,no,0,0.0,bounce
1126059,1,7141,no,0,0.0,bounce
5438192,1,3122,no,0,0.0,bounce
4012569,1,3487,no,0,0.0,bounce
2443702,1,151,no,0,0.0,bounce
8576678,1,3930,no,0,0.0,bounce
2473851,1,5644,no,0,0.0,bounce
1464270,1,9683,no,0,0.0,bounce
2577016,1,3661,no,0,0.0,bounce
5074879,1,8662,no,0,0.0,bounce
5043179,1,5310,no,0,0.0,bounce
2858587,1,2479,no,0,0.0,bounce
3583469,1,2350,no,0,0.0,bounce
5433033,1,3680,no,0,0.0,bounce
3529345,1,3695,no,0,0.0,bounce
5692531,1,6531,no,0,0.0,bounce
2845846,1,4733,no,0,0.0,bounce
2496489,1,556,no,0,0.0,bounce
8593926,1,4540,no,0,0.0,bounce
4480501,1,968,no,0,0.0,bounce
8820539,1,4445,no,0,0.0,bounce
4630126,1,3572,no,0,0.0,bounce
7139724,1,9310,no,0,0.0,bounce
6760550,1,2970,no,0,0.0,bounce
6282607,1,678,no,0,0.0,bounce
2277406,1,4039,no,0,0.0,bounce
2687419,1,3856,no,0,0.0,bounce
4232517,1,4230,no,0,0.0,bounce
3710338,1,4383,no,0,0.0,bounce
6265383,1,5929,no,0,0.0,bounce
9831386,1,5705,no,0,0.0,bounce
9576055,1,6006,no,0,0.0,bounce
8508751,1,8751,no,0,0.0,bounce
